CK,Tran,San,TC,Giamua3,KLmua3,Giamua2,KLmua2,Giamua1,KLmua1,Giakhop,Khoiluongkhoplenh,Thaydoi,Phantramthaydoi,Giaban1,KLban1,Giaban2,KLban2,Giaban3,KLban3,TongKL,Caonhat,Thapnhat,DTNNmua,DTNNban,DTNNdu
DMC,51.4,44.7,48.05,48,"13,600",48.05,"3,100",48.1,"1,500",48.15,700,0.10,0.2%,48.15,500,48.2,700,48.3,500,"25,800",48.35,48.05,"4,000",,"15,220,940"
DPG,40.05,34.85,37.45,37.4,"8,700",37.45,"17,500",37.5,"20,700",37.5,"82,300",0.05,0.1%,37.6,"3,200",37.8,100,37.9,"12,100","1,250,600",38.3,37,"7,900",700,"21,787,093"
DPM,30.8,26.8,28.8,28.85,"34,000",28.9,"14,400",28.95,"28,900",29,"146,500",0.20,0.7%,29,"14,200",29.05,"2,100",29.1,"17,000","4,981,300",29.8,28.55,"7,300","688,900","136,772,119"
DPR,61.9,53.9,57.9,57.3,"11,600",57.4,"3,800",57.5,"3,800",57.5,"3,300",-0.40,-0.7%,57.6,100,57.9,800,58,"6,800","69,800",57.9,57.3,,,"16,908,970"
DQC,21.15,18.45,19.8,19.4,"3,600",19.45,200,19.5,"2,000",19.5,500,-0.30,-1.5%,19.55,"1,400",19.75,200,19.8,"2,700","5,400",19.85,19.5,,,"16,432,192"
DRC,35.4,30.8,33.1,32.9,"7,100",33,"41,600",33.05,"2,000",33.1,"159,000",0.00,0.0%,33.1,"2,200",33.15,"2,000",33.2,"23,100","2,879,900",33.85,33.1,"124,900","21,700","49,333,453"
DRH,9.68,8.42,9.05,9.26,"18,000",9.27,"19,400",9.28,100,9.29,"43,500",0.24,2.7%,9.29,"21,300",9.3,"6,900",9.38,"18,800","970,400",9.41,9,"12,700","3,900","28,972,873"
DRL,61.8,53.8,57.8,57.6,"2,000",57.7,200,57.8,100,58.2,100,0.40,0.7%,58.2,"10,900",58.3,"1,200",58.5,200,600,58.3,58.2,,,"4,551,130"
DSN,44.4,38.6,41.5,41.5,100,41.7,"3,200",41.75,"5,000",41.8,"3,400",0.30,0.7%,41.8,900,41.85,600,41.9,200,"8,600",41.8,41.4,"1,100","1,000","3,504,581"
DTA,9.91,8.63,9.27,9.8,"8,000",9.9,"36,400",9.91,"34,800",9.91,"4,900",0.64,6.9%,,,,,,,"171,400",9.91,9.02,,,"8,830,851"
DTL,38.1,33.2,35.65,,,34.5,"4,000",34.7,"4,000",35,"5,000",-0.65,-1.8%,35.1,"8,000",35.7,"5,000",36,"5,000","10,000",35.6,35,,,"30,101,824"
DTT,14.95,13.05,14,,,,,13.05,100,,,,,14.95,100,,,,,,,,,,"3,979,991"
DVP,54.7,47.65,51.2,51.2,"7,600",51.3,"12,500",51.4,"9,700",51.4,"21,700",0.20,0.4%,51.6,500,52,"2,000",52.1,200,"222,900",52.6,50.8,"6,000","100,100","14,658,240"
DXG,24.2,21.1,22.65,22.95,"41,600",23,"25,700",23.05,"401,100",23.1,"241,300",0.45,2.0%,23.1,"25,600",23.15,"40,800",23.2,"79,300","7,748,200",23.4,22.75,"1,227,500","21,500","103,523,256"
DXV,4.28,3.72,4,3.91,500,3.95,200,3.96,200,4,200,0.00,0.0%,4,"11,500",4.01,300,4.1,"7,600","8,000",4,3.8,,,"4,803,450"
E1VFVN30,26.47,23.01,24.74,24.7,"1,400",24.74,300,24.8,"1,500",24.92,"1,700",0.18,0.7%,24.92,"1,100",24.95,100,24.99,"3,900","479,700",24.99,24.7,"235,100","239,000","14,496,710"
EIB,29.45,25.65,27.55,26.85,"10,200",26.9,"18,900",26.95,"4,100",26.95,"24,600",-0.60,-2.2%,27,"12,500",27.1,"1,400",27.15,"26,500","477,400",27.7,26.95,"8,900","5,800","3,170,846"
ELC,17.6,15.3,16.45,16.95,"54,200",17,"36,300",17.05,"17,600",17.1,"61,200",0.65,4.0%,17.1,"12,900",17.15,"18,700",17.2,"31,500","1,843,000",17.4,16.5,"32,000","277,800","22,323,735"
EMC,18.15,15.85,17,,,,,15.85,100,,,,,18,400,18.15,100,,,,,,,,"7,490,073"
EVE,13.95,12.15,13.05,12.75,200,12.8,"10,100",12.85,"4,200",13,100,-0.05,-0.4%,13,800,13.05,"16,000",13.2,"2,900","5,900",13,12.85,,,"13,744,812"
EVG,10.55,9.2,9.89,10.1,"50,900",10.15,"26,200",10.2,"27,100",10.35,"6,000",0.46,4.7%,10.35,"5,300",10.4,"10,300",10.45,"9,000","1,329,200",10.55,9.8,,"130,000",
FCM,6.84,5.96,6.4,6.27,"2,900",6.3,"3,100",6.35,500,6.38,100,-0.02,-0.3%,6.38,"1,100",6.39,"2,000",6.4,"2,800","5,700",6.39,6.3,,,"19,228,585"
FCN,12.6,11,11.8,11.95,"11,100",12,"2,000",12.1,100,12.2,"323,700",0.40,3.4%,12.2,"189,200",12.25,"44,100",12.3,"221,100","1,847,200",12.2,11.65,"11,200","15,900","59,713,437"
FDC,11.65,10.15,10.9,10.15,100,10.5,500,11,"1,100",11,100,0.10,0.9%,11.55,200,11.6,500,11.65,100,100,11,11,,,"18,914,525"
FIR,38.05,33.15,35.6,35.75,"3,000",35.8,"3,100",35.9,"1,200",35.9,"17,500",0.30,0.8%,36,"3,100",36.1,"2,600",36.2,900,"180,100",36,35.6,,,"12,943,796"
FIT,17.4,15.2,16.3,16.6,"125,000",16.65,"77,500",16.7,"190,500",16.8,"472,600",0.50,3.1%,16.8,"60,600",16.85,"23,500",16.9,"81,500","10,710,900",17.4,16.05,,"3,000",
FLC,12.25,10.65,11.45,11.5,"512,600",11.55,"533,000",11.6,"2,131,500",11.6,"1,764,700",0.15,1.3%,11.65,"122,300",11.7,"245,900",11.75,"74,800","26,259,100",11.9,11.35,"32,500","460,000","331,114,001"
FMC,41.6,36.2,38.9,38.95,"1,200",39,"2,300",39.1,300,39.2,"10,000",0.30,0.8%,39.2,"37,000",39.25,"4,000",39.3,"1,600","577,000",40,38.8,"116,000","24,500","24,285,515"
FPT,103.3,89.9,96.6,96.4,"4,000",96.5,"3,000",96.6,"31,000",96.6,"125,500",0.00,0.0%,96.7,"35,100",96.8,"19,700",96.9,"34,500","3,413,900",97.2,95.8,"992,000","991,500",80
FRT,39.95,34.75,37.35,38.8,"24,900",38.85,"3,700",38.9,"14,100",38.9,"109,500",1.55,4.1%,38.95,"2,000",39,"43,600",39.05,"3,200","4,607,500",39.9,37.35,"221,300","16,600","28,995,231"
FTM,3.24,2.82,3.03,2.96,"13,500",2.97,"19,700",2.98,"3,900",2.98,"10,500",-0.05,-1.7%,2.99,"6,300",3,"24,300",3.01,"23,900","493,400",3.17,2.95,"3,500","23,800","24,289,670"
FTS,43,37.4,40.2,40.9,"6,800",40.95,"2,300",41,"5,000",41,"29,600",0.80,2.0%,41.1,"3,300",41.2,"3,800",41.25,"5,800","1,179,600",41.9,39.2,"10,200","1,300","113,908,693"
FUCTVGF2,11.75,10.25,11,,,,,,,11,100,0.00,0.0%,11,"40,200",11.1,"40,000",11.2,"40,000",100,11,11,,,"8,084,078"
FUCVREIT,11.8,10.3,11.05,10.5,"5,100",10.6,900,10.9,100,10.9,200,-0.15,-1.4%,11,"1,100",11.05,500,11.3,500,"3,300",11.1,10.9,,,"2,419,410"
FUEMAV30,18.93,16.47,17.7,17.1,100,17.2,200,17.26,"100,000",17.44,"11,000",-0.26,-1.5%,17.44,"92,300",17.49,"12,100",17.54,"200,000","426,200",17.69,17.21,"357,500","404,800","2,229,820"
FUESSV30,20.86,18.14,19.5,18.8,100,18.85,400,18.98,300,20.85,"25,900",1.35,6.9%,20.85,"4,600",20.86,"3,000",,,"39,200",20.85,18.7,"5,600","5,100","2,755,480"
FUESSV50,22.79,19.81,21.3,21.3,"11,000",21.4,"15,100",21.5,"17,100",21.8,"3,300",0.50,2.3%,21.8,"13,900",21.9,"20,500",22,"12,200","29,500",21.8,21.5,,,"4,967,850"
FUESSVFL,23.32,20.28,21.8,21.18,300,21.19,300,21.43,300,21.5,"2,300",-0.30,-1.4%,21.5,600,21.64,300,21.68,100,"174,100",21.79,21.1,"2,800","160,200","2,309,300"
FUEVFVND,27.6,24,25.8,25.68,"2,400",25.7,"1,000",25.75,400,25.8,"14,200",0.00,0.0%,25.8,"6,400",25.88,100,25.89,"5,000","1,040,600",26.04,25.7,"728,800","314,600","4,980,054"
FUEVN100,19.9,17.3,18.6,18.53,100,18.55,"1,100",18.57,400,18.71,"19,500",0.11,0.6%,18.7,"5,100",18.72,"20,000",18.75,900,"111,000",18.71,18.57,"37,600","94,700","2,358,570"
GAB,207.5,180.5,194,193.2,"1,100",193.5,"2,500",193.7,"1,400",193.8,200,-0.20,-0.1%,195.6,700,195.7,400,196,"1,100",300,194,193.8,,200,"6,687,180"
GAS,100.3,87.3,93.8,92.1,"10,600",92.2,"13,900",92.3,"10,300",92.4,"31,000",-1.40,-1.5%,92.4,"7,700",92.5,"1,100",92.6,300,"1,309,200",94.6,92.2,"85,300","746,900","885,187,202"
GDT,60.7,52.9,56.8,55.7,"2,100",55.8,"4,300",55.9,"3,700",55.9,"22,900",-0.90,-1.6%,56,"1,500",56.1,"1,100",56.4,"2,100","124,000",56.8,55.8,"20,700",900,"5,521,470"
GEG,17.3,15.1,16.2,16.35,"2,100",16.4,"6,700",16.45,"14,100",16.5,"46,300",0.30,1.9%,16.5,"2,200",16.6,"4,800",16.65,"8,100","942,200",17,16.1,"10,500","10,900","37,652,992"
GEX,24.25,21.15,22.7,22.3,"73,300",22.35,"5,200",22.4,"180,000",22.4,"563,100",-0.30,-1.3%,22.45,700,22.5,"13,900",22.55,"4,500","3,862,300",22.85,22.4,"9,400","42,000","287,020,461"
GIL,73.4,63.8,68.6,67.7,"7,100",67.8,"2,500",67.9,"2,500",68,"55,700",-0.60,-0.9%,68,"12,200",68.2,400,68.4,"3,500","825,400",69.5,67.5,,"60,600","15,761,449"
GMC,32.1,27.9,30,29,"2,300",29.1,"1,000",29.2,400,29,100,-1.00,-3.3%,31.4,500,31.45,"1,300",31.5,200,"4,200",29.1,29,,,"12,192,956"
GMD,50.6,44.05,47.35,48.15,"1,600",48.2,"21,600",48.25,"5,100",48.3,"105,000",0.95,2.0%,48.3,"9,800",48.35,100,48.4,"18,700","5,999,000",49.25,46.95,"71,000","16,500","21,530,615"
GSP,13.1,11.4,12.25,12,"19,500",12.05,"1,900",12.1,"3,200",12.2,100,-0.05,-0.4%,12.2,100,12.25,"15,200",12.3,"5,400","32,700",12.25,12.05,,,
GTA,15.3,13.3,14.3,13.95,100,14,400,14.05,300,14.25,"2,000",-0.05,-0.3%,14.3,"1,600",14.35,"2,000",14.45,100,"11,300",14.55,14,,,"5,038,105"
GTN,17.7,15.4,16.55,17.6,"14,000",17.65,"19,500",17.7,"568,600",17.7,"3,100",1.15,6.9%,,,,,,,"1,770,600",17.7,16.55,"8,000",900,"249,478,781"
GVR,37.25,32.45,34.85,34.1,"15,300",34.15,700,34.2,"27,700",34.2,"366,600",-0.65,-1.9%,34.25,300,34.5,"68,500",34.55,"12,900","5,648,300",35.2,34.2,"87,500","395,100","493,344,250"
HAG,5.84,5.08,5.46,5.39,300,5.4,"5,600",5.42,"1,000",5.45,"336,300",-0.01,-0.2%,5.45,"70,300",5.46,"85,000",5.47,"518,000","4,262,200",5.6,5.37,500,"261,500","384,348,259"
HAH,52.1,45.35,48.75,51.6,"17,200",51.7,"4,500",51.8,"4,300",52,"121,800",3.25,6.7%,52,"12,200",52.1,"136,200",,,"2,966,300",52.1,48.45,"27,200","267,700","20,019,883"
HAI,4.64,4.04,4.34,4.3,"40,800",4.31,"38,800",4.32,"18,200",4.32,"251,500",-0.02,-0.5%,4.33,"1,000",4.34,"10,000",4.35,"18,200","9,782,900",4.6,4.24,,"355,600","86,862,721"
HAR,5.02,4.38,4.7,4.54,"5,500",4.55,"9,000",4.56,"3,600",4.56,"12,000",-0.14,-3.0%,4.57,500,4.58,"2,300",4.59,"3,300","317,600",4.69,4.52,"6,700","1,600","49,505,267"
HAS,13.05,11.35,12.2,,,11.4,"1,100",12,"4,900",12.35,700,0.15,1.2%,12.1,"1,000",12.35,"1,900",12.4,600,700,12.35,12.35,,,"2,500,336"
HAX,22.7,19.8,21.25,20.9,"22,500",20.95,"1,100",21,"21,200",21.15,"16,700",-0.10,-0.5%,21.15,"1,700",21.2,"10,000",21.25,"2,400","483,300",21.6,20.9,"15,500","22,500","14,754,103"
HBC,15.05,13.15,14.1,14.15,"61,800",14.2,"120,200",14.25,"1,156,300",14.25,"457,900",0.15,1.1%,14.3,"25,600",14.35,"26,200",14.4,"85,500","7,262,000",14.6,14.1,"5,900","19,000","79,366,096"
HCD,7.68,6.68,7.18,6.96,"6,300",6.99,"1,200",7,"12,000",7,"32,000",-0.18,-2.5%,7.02,800,7.05,"3,000",7.07,"5,400","858,800",7.17,7,"6,000","27,900","12,775,150"
HCM,54,47,50.5,49.2,"112,600",49.25,"2,100",49.3,"153,400",49.3,"554,900",-1.20,-2.4%,49.35,"1,000",49.4,"1,500",49.45,"20,400","6,651,300",50.6,49.3,"213,600","162,200","1,946,450"
HDB,37.95,33.05,35.5,34.85,"23,900",34.9,"67,700",34.95,400,35,"171,800",-0.50,-1.4%,35,"148,400",35.05,"9,000",35.1,"1,000","2,688,800",35.6,34.85,"724,300","133,100","51,108,227"
HDC,66.3,57.7,62,61.8,"19,300",61.9,"24,000",62,"24,500",62,"26,900",0.00,0.0%,62.2,"4,400",62.3,"5,100",62.6,"1,000","1,377,200",64,61,"135,000","28,400","38,459,656"
HDG,60.2,52.4,56.3,57,"105,000",57.1,"7,600",57.2,"6,700",57.2,"99,400",0.90,1.6%,57.3,"17,000",57.4,"2,600",57.5,"8,200","2,846,100",58.8,55.9,"222,000","3,800","62,606,349"
HHP,11.75,10.25,11,10.5,"10,400",10.55,"1,200",10.6,"9,500",10.6,"8,400",-0.40,-3.6%,10.7,"2,400",10.75,"6,100",10.8,"5,400","257,000",11,10.6,"7,000","5,500","9,714,099"
HHS,6.67,5.81,6.24,6.17,"3,400",6.18,"31,400",6.19,"43,600",6.19,"148,900",-0.05,-0.8%,6.2,"6,600",6.22,300,6.23,"4,000","2,309,500",6.28,6.16,"200,200","6,500","127,849,672"
HID,6.12,5.32,5.72,5.55,"4,100",5.56,500,5.62,"1,900",5.62,"45,200",-0.10,-1.7%,5.64,"16,500",5.65,"10,000",5.66,"17,800","720,700",5.76,5.51,"4,000","56,500","27,641,089"
HII,16.75,14.65,15.7,15.65,"6,000",15.7,"2,000",15.75,"3,500",15.8,"5,600",0.10,0.6%,15.8,"4,400",15.9,"6,100",15.95,"5,000","751,300",16.1,15.7,,"2,400","15,561,238"
HMC,28,24.4,26.2,25.75,"7,100",25.8,"2,900",25.9,100,25.9,"3,000",-0.30,-1.1%,26.1,"1,000",26.15,"6,200",26.2,"1,500","169,300",26.4,25.8,"3,300","3,000","10,037,020"
HNG,8.31,7.23,7.77,7.62,"38,200",7.63,"94,100",7.64,"104,500",7.64,"457,900",-0.13,-1.7%,7.65,"9,000",7.66,"26,900",7.67,"2,500","6,984,800",7.79,7.63,"34,200","1,500","523,033,328"
HOT,37.3,32.5,34.9,,,32.5,300,32.55,100,37.3,100,2.40,6.9%,37.15,300,37.3,800,,,500,37.3,32.5,,,"3,918,780"
HPG,52.2,45.4,48.8,48.25,"85,800",48.3,"514,600",48.35,"110,400",48.4,"1,251,700",-0.40,-0.8%,48.4,"271,200",48.45,"39,500",48.5,"120,200","20,101,800",49.1,48.3,"1,785,300","333,500","995,536,616"
HPX,33.15,28.85,31,30,200,30.1,"2,000",30.2,500,30.2,"3,500",-0.80,-2.6%,31.4,"5,200",31.5,"2,400",31.95,100,"227,600",31.5,30.15,"4,300",,"93,041,962"
HQC,3.71,3.23,3.47,3.48,"131,900",3.49,"65,200",3.5,"259,500",3.51,"2,000",0.04,1.2%,3.51,"31,900",3.52,"7,700",3.53,"52,800","13,587,600",3.64,3.47,"21,900","484,700","228,439,561"
HRC,64.2,55.8,60,,,,,,,,,,,,,,,,,,,,,,"14,604,761"
HSG,41.3,35.9,38.6,37.85,"75,100",37.9,"213,400",37.95,"23,000",38,"1,038,000",-0.60,-1.6%,38,"51,100",38.05,"17,300",38.1,"59,900","9,823,200",38.6,38,"527,200","7,800","188,303,086"
HSL,6.88,5.98,6.43,6.46,300,6.48,500,6.5,"6,900",6.5,"1,700",0.07,1.1%,6.53,"1,400",6.54,"3,000",6.55,"6,300","111,200",6.55,6.42,,100,"15,563,159"
HT1,17.4,15.2,16.3,16.15,"5,100",16.2,"34,200",16.25,"27,900",16.3,"39,300",0.00,0.0%,16.3,"18,600",16.35,"80,300",16.4,"22,800","1,063,800",16.45,16.2,"4,000","2,900","175,933,469"
HTI,16.3,14.2,15.25,15.35,100,15.4,300,15.45,"9,400",15.45,900,0.20,1.3%,15.55,"2,800",15.6,"4,000",15.65,"5,700","57,700",15.75,15.15,,100,"8,592,078"
HTL,18.6,16.2,17.4,16.8,"1,400",16.85,200,17.8,"2,200",18,"2,000",0.60,3.4%,18.15,100,18.2,"2,300",18.5,"1,500","33,600",18.2,17.95,"28,700",100,"511,351"
HTN,38.65,33.65,36.15,35.65,400,35.7,"1,400",35.75,"57,500",35.8,"14,500",-0.35,-1.0%,35.95,500,36,"7,600",36.1,"2,600","100,000",36.15,35.75,,200,"24,043,366"
HTV,15.15,13.25,14.2,14,"2,000",14.05,"1,000",14.1,500,14.3,500,0.10,0.7%,14.35,"1,100",14.4,"1,100",14.5,"1,800","1,100",14.35,14.1,,,"4,459,716"
HU1,8.77,7.63,8.2,7.9,"2,300",8,"1,000",8.1,200,,,,,8.7,500,8.77,500,,,,,,,,"4,530,270"
HU3,8.31,7.23,7.77,7.23,200,7.24,900,7.3,300,7.9,100,0.13,1.7%,7.9,300,7.95,700,7.98,100,100,7.9,7.9,,,"4,431,582"
HUB,26,22.6,24.3,23.8,200,24,"5,100",24.05,300,24.4,100,0.10,0.4%,24.4,"2,100",24.5,"1,200",25,"4,900","4,300",25.5,24.1,100,,"8,402,534"
HVH,8.8,7.66,8.23,8.25,"1,100",8.26,"3,800",8.27,"6,400",8.29,"3,000",0.06,0.7%,8.29,"10,700",8.3,"15,200",8.31,"1,300","254,500",8.3,8.2,,,"17,893,302"
HVN,23.15,20.15,21.65,21.6,"63,000",21.65,"24,100",21.7,"1,700",21.7,"14,100",0.05,0.2%,21.75,"11,800",21.8,"18,800",21.85,"4,500","805,600",21.95,21.6,"30,000",100,"296,907,040"
HVX,5.54,4.82,5.18,4.86,300,4.87,100,5,"8,000",5.1,100,-0.08,-1.5%,5.1,100,5.18,"2,000",5.19,"2,500","5,000",5.28,5,,,"19,234,201"
IBC,23.1,20.1,21.6,21.1,200,21.2,500,21.3,600,21.6,100,0.00,0.0%,21.6,"30,600",21.7,"13,200",21.8,"3,000","108,700",21.6,20.8,,"1,900","25,161,940"
ICT,18.4,16,17.2,16.9,"4,900",16.95,"2,600",17,"6,400",17,300,-0.20,-1.2%,17.2,"3,200",17.25,"1,200",17.3,"5,900","34,400",17.2,17,200,,"32,028,440"
IDI,6.42,5.58,6,5.95,"25,600",5.96,"11,300",5.97,"1,900",5.97,"16,700",-0.03,-0.5%,5.99,"7,100",6,"20,500",6.01,"19,000","816,400",6.06,5.96,"26,600","1,000","109,879,300"
IJC,27.9,24.3,26.1,26.4,"55,300",26.45,"5,100",26.5,"14,500",26.5,"269,100",0.40,1.5%,26.55,"27,200",26.6,"28,100",26.65,"12,300","8,593,700",27.2,25.8,"286,400",,"104,047,472"
ILB,34.45,29.95,32.2,31.75,"2,500",31.8,200,32,"3,200",32,"8,300",-0.20,-0.6%,32.1,"10,100",32.5,"2,000",32.65,"1,000","263,000",33.15,31.2,,,
IMP,76,66.2,71.1,70.5,"2,600",70.6,400,70.9,"1,100",70.9,100,-0.20,-0.3%,72,300,72.4,"1,000",72.5,600,"7,400",72,70.9,,,95
ITA,6.96,6.06,6.51,6.5,"418,200",6.51,"172,600",6.52,"35,400",6.53,"212,000",0.02,0.3%,6.53,"11,200",6.54,"7,800",6.55,"19,500","7,912,800",6.69,6.45,"46,700","276,400","400,013,135"
ITC,14.25,12.45,13.35,13.5,"1,300",13.55,"6,200",13.6,"5,500",13.75,"2,500",0.40,3.0%,13.75,800,13.8,"3,200",13.85,"1,300","71,700",13.8,13.35,"13,000",,"38,671,810"
ITD,18.4,16,17.2,18.25,"1,000",18.3,"2,000",18.35,"6,700",18.4,"18,900",1.20,7.0%,18.4,900,,,,,"858,300",18.4,17.1,100,,"9,135,875"
JVC,4.49,3.91,4.2,4.08,"20,700",4.09,"7,400",4.1,"158,700",4.11,"96,300",-0.09,-2.1%,4.11,"14,700",4.12,"6,100",4.14,300,"1,061,900",4.27,4.1,"18,800","30,300","40,419,988"
KBC,37.8,32.9,35.35,35.4,"19,700",35.45,300,35.5,"40,900",35.5,"710,000",0.15,0.4%,35.7,"3,500",35.8,"11,700",35.85,100,"12,916,500",36.95,35.1,"73,100","634,600","140,516,092"
KDC,66.1,57.5,61.8,61.6,"12,600",61.7,"1,000",61.8,"16,800",61.9,"174,200",0.10,0.2%,61.9,"2,500",62,"25,800",62.2,600,"2,116,800",62,61,"14,200","100,500","220,586,116"
KDH,43.85,38.15,41,41.3,"37,800",41.35,"1,900",41.4,"16,400",41.4,"274,000",0.40,1.0%,41.45,"1,800",41.5,"13,900",41.55,"1,300","5,705,300",42.4,41.1,"557,200","225,500","117,458,978"
KHP,6.95,6.05,6.5,6.49,"1,200",6.5,"7,400",6.51,"2,000",6.51,"7,000",0.01,0.2%,6.54,"3,600",6.55,"11,900",6.56,"2,600","65,600",6.55,6.51,"18,000","35,000","24,448,798"
KMR,8.58,7.46,8.02,8.34,"1,900",8.35,"2,800",8.36,"4,400",8.39,"5,300",0.37,4.6%,8.39,"1,700",8.4,"2,200",8.42,"2,900","997,300",8.58,8.2,,"21,100","20,985,674"
KOS,30.35,26.45,28.4,28.2,"2,200",28.3,"2,000",28.4,"3,600",28.45,"1,600",0.05,0.2%,28.45,"1,400",28.75,200,28.9,"2,000","262,000",28.95,28.4,"4,600",100,"80,414,251"
KPF,11.7,10.2,10.95,10.25,"3,700",10.3,200,10.5,"1,000",10.75,"2,000",-0.20,-1.8%,10.8,100,10.85,"7,000",10.9,"10,100","37,400",10.95,10.25,,,"26,634,062"
KSB,26.95,23.45,25.2,25.95,"27,800",26,"68,000",26.05,200,26.1,"85,700",0.90,3.6%,26.1,"12,500",26.15,"20,000",26.2,"14,700","2,952,400",26.45,25.1,"42,400","1,000","33,343,938"
L10,15.95,13.95,14.95,14.6,100,14.95,500,15.1,700,15.1,500,0.15,1.0%,15.9,100,15.95,700,,,500,15.1,15.1,,,"4,754,453"
LBM,63.3,55.1,59.2,56.2,500,56.3,"1,100",59,500,60.9,100,1.70,2.9%,60.9,400,61,100,61.4,"1,400","2,100",60.9,60,100,,"3,879,231"
LCG,13.7,12,12.85,12.65,"95,200",12.7,"54,400",12.75,"13,200",12.8,"58,500",-0.05,-0.4%,12.8,"38,100",12.85,"38,300",12.9,"65,800","1,871,000",12.95,12.6,200,"6,200","52,370,215"
LCM,2.52,2.2,2.36,2.32,"2,200",2.33,300,2.34,300,2.36,"5,100",0.00,0.0%,2.36,"26,700",2.4,"13,200",2.44,"18,300","43,900",2.52,2.3,,,"9,302,260"
LDG,6.67,5.81,6.24,6.34,"2,400",6.35,"18,600",6.36,"12,800",6.38,"18,800",0.14,2.2%,6.38,"7,200",6.39,"12,600",6.4,"20,200","5,476,700",6.55,6.13,"1,100","64,900","115,665,221"
LEC,11.3,9.86,10.6,9.95,100,9.97,100,10,100,10.5,"1,000",-0.10,-0.9%,10.6,600,11,800,11.2,500,"2,100",10.6,10.5,,,"12,788,563"
LGC,64.9,56.5,60.7,,,,,,,,,,,59.9,100,60,800,60.6,700,,,,,,"7,736,435"
LGL,6.62,5.76,6.19,6.03,"1,000",6.05,200,6.1,"12,500",6.15,"5,100",-0.04,-0.6%,6.15,"5,700",6.19,100,6.2,"4,000","22,300",6.28,6.15,,,"24,079,521"
LHG,54.8,47.75,51.3,51.7,100,51.8,"15,400",51.9,300,52,"28,200",0.70,1.4%,52,"21,600",52.1,"1,000",52.2,"3,300","673,700",53.3,51,"15,500","3,000","19,814,581"
LIX,62.3,54.3,58.3,58.2,"5,200",58.3,"9,900",58.4,700,58.4,300,0.10,0.2%,58.6,"3,100",58.7,400,58.8,100,"62,200",58.5,58,"1,500","25,000","12,529,415"
LM8,10.65,9.3,9.99,9.51,700,9.79,200,9.8,100,10.2,200,0.21,2.1%,10.2,100,10.25,200,10.3,100,"1,700",10.2,9.99,,,"4,428,809"
LPB,27.8,24.2,26,25.5,"33,700",25.55,"3,400",25.6,"6,000",25.65,"472,900",-0.35,-1.3%,25.65,"195,100",25.7,"168,700",25.75,"67,100","8,117,500",26.1,25.4,"1,021,700","287,900","15,119,759"
LSS,10.7,9.3,10,10.05,"1,700",10.1,"22,800",10.15,"36,800",10.2,"3,700",0.20,2.0%,10.2,"25,300",10.25,"40,400",10.3,"54,500","744,900",10.4,10.15,"26,900","1,300","32,861,653"
MBB,32.1,27.9,30,29.55,"267,500",29.6,"618,100",29.65,"64,500",29.65,"824,200",-0.35,-1.2%,29.7,"238,000",29.75,"116,200",29.8,"175,900","13,684,700",30.1,29.6,"1,040,900","308,800","26,005,353"
MCG,3.29,2.87,3.08,3.03,200,3.06,100,3.07,300,3.07,100,-0.01,-0.3%,3.08,900,3.1,"20,400",3.11,"10,000","13,100",3.13,3.07,,,"25,457,446"
MCP,25.65,22.35,24,22.6,400,22.65,100,24.5,300,25.5,200,1.50,6.3%,25.45,100,25.5,100,,,200,25.5,25.5,,,"7,355,956"
MDG,12.65,11.05,11.85,,,,,11.05,"1,000",11.1,100,-0.75,-6.3%,12.45,100,12.5,100,12.55,100,100,11.1,11.1,,,"5,335,525"
MHC,10.2,8.89,9.55,10.1,"16,100",10.15,"12,000",10.2,"101,900",10.2,"115,500",0.65,6.8%,,,,,,,"2,182,000",10.2,10.05,"41,300","15,200","19,020,523"
MIG,20.2,17.6,18.9,18.65,"11,400",18.7,"28,100",18.75,"4,300",18.75,"8,300",-0.15,-0.8%,18.8,"10,300",18.85,"2,800",18.9,"23,800","472,800",19.1,18.7,"58,700",,"67,082,822"
MSB,31.85,27.75,29.8,29.5,"216,500",29.55,"30,800",29.6,"1,400",29.65,"647,100",-0.15,-0.5%,29.65,"33,700",29.7,"51,000",29.75,"31,600","6,125,200",30,29.3,,,28
MSH,78.1,67.9,73,71.8,600,71.9,400,72,800,72,"3,500",-1.00,-1.4%,72.5,"3,500",72.6,600,72.7,"1,200","103,200",73.1,70.6,"21,700",400,"21,111,276"
MSN,144.4,125.6,135,134.3,500,134.4,900,134.5,"10,100",134.5,"20,900",-0.50,-0.4%,134.7,"5,500",134.8,"2,300",134.9,"6,000","670,500",136,134.5,"108,900","52,100","785,060,760"
MWG,185.1,160.9,173,171.3,900,171.4,"1,100",171.5,"17,500",171.5,"65,300",-1.50,-0.9%,171.9,"2,600",172.6,"1,600",172.8,100,"1,032,700",175.5,171.5,,,
NAF,35.05,30.55,32.8,32.4,"33,700",32.45,"7,600",32.5,"6,800",32.8,"84,500",0.00,0.0%,32.8,"36,700",32.85,"6,200",32.9,"29,600","1,212,600",32.9,32.3,"35,200",500,"43,676,092"
NAV,19.35,16.85,18.1,,,,,18.1,"2,000",18.8,500,0.70,3.9%,18.8,400,18.95,800,19,"1,500","1,100",18.8,18.1,200,,"3,849,310"
NBB,30.15,26.25,28.2,27.55,"1,800",27.8,100,28,100,28.2,"15,200",0.00,0.0%,28.2,"3,700",28.3,"10,600",28.4,"9,500","66,900",28.3,27.5,,,"48,424,511"
