CK,Tran,San,TC,Giamua3,KLmua3,Giamua2,KLmua2,Giamua1,KLmua1,Giakhop,Khoiluongkhoplenh,Thaydoi,Phantramthaydoi,Giaban1,KLban1,Giaban2,KLban2,Giaban3,KLban3,TongKL,Caonhat,Thapnhat,DTNNmua,DTNNban,DTNNdu
TDG,4.31,3.75,4.03,4.11,"1,000",4.13,200,4.15,100,4.19,"11,000",0.16,4.0%,4.19,200,4.2,"25,900",4.22,"1,400","831,200",4.29,4.03,600,"6,800","7,942,131"
TDH,7.55,6.57,7.06,7.5,"6,900",7.54,100,7.55,"1,851,000",7.55,"8,200",0.49,6.9%,,,,,,,"568,800",7.55,7.55,,500,"47,899,310"
TDM,33.55,29.25,31.4,30.8,"16,800",30.85,"11,100",30.9,"6,700",30.9,"29,900",-0.50,-1.6%,31,"6,900",31.05,"1,300",31.1,"3,100","901,300",32,30.9,"56,400","8,700","42,494,750"
TDP,30.05,26.15,28.1,26.25,100,26.3,100,26.35,200,28.15,500,0.05,0.2%,28.2,200,28.3,800,28.4,200,"75,600",28.3,28.15,,,"26,317,108"
TDW,36.35,31.65,34,,,,,31.65,200,,,,,34.5,"1,400",34.7,"2,000",35,"1,000",,,,,,"3,945,120"
TEG,17.2,15,16.1,15.75,200,15.8,"2,200",15.9,"2,100",16.1,"10,600",0.00,0.0%,16.1,"3,700",16.15,"4,600",16.2,"20,200","212,600",16.15,15.75,,,"15,811,567"
TGG,12.5,10.9,11.7,11.5,"10,900",11.55,"2,000",11.6,"2,300",11.6,"14,500",-0.10,-0.9%,11.65,700,11.7,"4,000",11.8,"14,000","261,800",11.8,11.6,900,"10,200","12,883,255"
THG,72.2,62.8,67.5,67.3,"2,300",67.4,"1,000",67.5,400,67.6,"1,100",0.10,0.1%,67.6,"1,000",67.7,"3,200",67.8,"2,200","11,800",67.7,67.3,,"4,100","6,634,834"
TIP,41.6,36.2,38.9,38.4,100,38.5,300,38.6,700,38.65,"1,200",-0.25,-0.6%,38.65,800,38.7,"6,500",38.9,100,"56,300",39.1,38.3,"1,400",400,"7,706,293"
TIX,33.35,29.05,31.2,,,,,29.05,"1,000",31.2,"1,000",0.00,0.0%,33,"1,000",33.35,100,,,"1,000",31.2,31.2,,,"14,660,996"
TLD,5.98,5.2,5.59,5.63,"1,200",5.64,"1,300",5.67,"4,400",5.67,"3,600",0.08,1.4%,5.68,"13,900",5.69,"11,300",5.7,"15,500","275,200",5.72,5.41,"5,300",500,"19,030,250"
TLG,40.65,35.35,38,37.9,"6,800",38,"7,400",38.15,"2,700",38.2,400,0.20,0.5%,38.2,"10,200",38.25,100,38.3,"3,200","65,100",38.45,37.7,"19,900",,"58,742,776"
TLH,16.9,14.7,15.8,15.9,"50,400",15.95,"100,400",16,"88,300",16.05,"54,900",0.25,1.6%,16.05,"31,700",16.1,"58,200",16.15,"45,300","1,840,200",16.4,15.9,"5,600","11,300","48,582,082"
TMP,44.4,38.6,41.5,40.6,"1,100",40.8,100,41,800,41.6,100,0.10,0.2%,41.6,100,41.65,100,41.7,"3,300","1,600",41.7,41,,,"33,994,240"
TMS,57.2,49.8,53.5,52.9,100,53,"1,400",53.1,"1,600",53.1,"5,400",-0.40,-0.7%,53.9,300,54,"8,200",54.1,"1,700","77,500",55,53.1,,,20
TMT,10.05,8.76,9.41,9.22,"1,000",9.4,"4,000",9.41,400,9.42,"1,300",0.01,0.1%,9.5,"4,700",9.55,"7,300",9.64,900,"24,200",9.6,9.41,,,"17,345,773"
TN1,42.8,37.2,40,37.9,100,38,"1,000",38.5,"1,300",38.5,"3,300",-1.50,-3.8%,39.65,100,39.7,400,40,"5,100","24,200",40,38.5,,,"11,647,817"
TNA,12.7,11.1,11.9,11.85,"5,900",11.9,"9,000",11.95,"7,300",11.95,200,0.05,0.4%,12,300,12.05,"3,000",12.1,"11,600","120,500",12.1,11.8,100,300,"18,023,193"
TNC,31.75,27.65,29.7,,,,,27.65,400,,,,,31.65,"1,000",,,,,,,,,,"9,022,090"
TNH,31.85,27.75,29.8,31.2,"29,000",31.25,300,31.4,"29,200",31.4,"237,400",1.60,5.4%,31.45,"4,000",31.5,"71,200",31.55,"10,200","1,383,700",31.5,29.7,,,
TNI,3.75,3.27,3.51,3.47,"4,100",3.48,"39,500",3.49,"2,100",3.5,"5,500",-0.01,-0.3%,3.51,"1,200",3.52,"60,200",3.53,"242,100","415,600",3.57,3.48,,"9,200","25,397,330"
TNT,9.96,8.66,9.31,9.22,"2,500",9.25,200,9.33,400,9.33,"9,500",0.02,0.2%,9.35,"28,200",9.5,100,9.53,100,"207,100",9.7,9.2,,,"12,479,310"
TPB,38.4,33.4,35.9,35.4,"29,700",35.45,"29,400",35.5,"10,400",35.5,"79,300",-0.40,-1.1%,35.55,"7,200",35.6,"69,500",35.65,"4,100","3,867,300",36.3,35.45,,,
TPC,9.72,8.46,9.09,8.48,100,8.6,100,8.61,100,,,,,9.39,100,9.4,100,9.49,100,,,,,,"11,569,586"
TRA,85.6,74.4,80,78.2,800,79,100,79.5,100,80,100,0.00,0.0%,80.2,200,80.5,900,81,"7,000","2,100",80,80,,,"2,217,395"
